time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010528349642	13.2018	-0.0550271	0.1	8.5	0.1	lidar	6.94947e-310	174.643	33.4625	174.685	33.4095	2.56021	0.960341
1477010528349642	13.2018	-0.0550271	0.1	8.5	0.1	radar	6.94947e-310	174.474	33.9157	174.685	33.4095	2.56021	0.960341
1477010529349642	13.3868	0.0795431	0.1	8.6	0.1	lidar	6.94947e-310	177.03	34.2009	177.261	34.3262	2.52363	0.850119
1477010529349642	13.3868	0.0795431	0.1	8.6	0.1	radar	6.94947e-310	177.211	33.8467	177.261	34.3262	2.52363	0.850119
1477010530349642	13.5606	0.219088	0.1	8.7	0.1	lidar	6.94947e-310	180.145	35.1423	179.799	35.1289	2.47883	0.732949
1477010530349642	13.5606	0.219088	0.1	8.7	0.1	radar	6.94947e-310	179.543	35.4767	179.799	35.1289	2.47883	0.732949
1477010531349642	13.6935	0.362019	0.1	8.8	0.1	lidar	6.94947e-310	182.599	35.753	182.292	35.8114	2.42515	0.611338
1477010531349642	13.6935	0.362019	0.1	8.8	0.1	radar	6.94947e-310	182.047	36.2626	182.292	35.8114	2.42515	0.611338
1477010532349642	13.7885	0.476028	0.1	8.9	0.1	lidar	6.94947e-310	184.732	36.5155	184.73	36.37	2.36226	0.487877
1477010532349642	13.7885	0.476028	0.1	8.9	0.1	radar	6.94947e-310	184.833	36.1451	184.73	36.37	2.36226	0.487877
1477010533349642	13.8362	0.539051	0.1	9	0.1	lidar	6.94947e-310	186.946	36.9404	187.103	36.804	2.29017	0.365145
1477010533349642	13.8362	0.539051	0.1	9	0.1	radar	6.94947e-310	187.296	36.9375	187.103	36.804	2.29017	0.365145
1477010534349642	13.8502	0.522527	0.1	9.1	0.1	lidar	6.94947e-310	189.465	37.4052	189.401	37.1147	2.20928	0.245623
1477010534349642	13.8502	0.522527	0.1	9.1	0.1	radar	6.94947e-310	189.738	36.951	189.401	37.1147	2.20928	0.245623
1477010535349642	13.8297	0.404598	0.1	9.2	0.1	lidar	6.94947e-310	191.735	37.5631	191.615	37.3064	2.12037	0.131591
1477010535349642	13.8297	0.404598	0.1	9.2	0.1	radar	6.94947e-310	191.682	37.1147	191.615	37.3064	2.12037	0.131591
1477010536349642	13.8147	0.164315	0.1	9.3	0.1	lidar	6.94947e-310	193.471	37.2789	193.738	37.3853	2.02462	0.0250452
1477010536349642	13.8147	0.164315	0.1	9.3	0.1	radar	6.94947e-310	193.555	37.4234	193.738	37.3853	2.02462	0.0250452
1477010537349642	13.7962	-0.198444	0.1	9.4	0.1	lidar	6.94947e-310	195.991	37.3991	195.762	37.3598	1.92349	-0.072386
1477010537349642	13.7962	-0.198444	0.1	9.4	0.1	radar	6.94947e-310	195.507	37.4891	195.762	37.3598	1.92349	-0.072386
1477010538349642	13.8194	-0.662609	0.1	9.5	0.1	lidar	6.94947e-310	197.725	37.7285	197.683	37.2395	1.81869	-0.159495
1477010538349642	13.8194	-0.662609	0.1	9.5	0.1	radar	6.94947e-310	197.582	37.303	197.683	37.2395	1.81869	-0.159495
1477010539349642	13.8973	-1.17322	0.1	9.6	0.1	lidar	6.94947e-310	199.294	37.2862	199.497	37.0353	1.71212	-0.235529
1477010539349642	13.8973	-1.17322	0.1	9.6	0.1	radar	6.94947e-310	199.356	37.3527	199.497	37.0353	1.71212	-0.235529
